Company Name,City,State,Website,Instagram,Contact Name,Contact Title,Company Contact,Company Founded,Company Revived,Country,Company Description ,Making in America Description,Last Updated,,,
Rpaige Watches,Honolulu,HI,https://www.rpaigewatch.com/,https://www.instagram.com/rpaigewatchco/,Richard Paige,Founder,,2012,,US,Coming soon!,Also coming soon!,2025-09-29,,
Peter Doble,Twin Falls,ID,,https://www.instagram.com/doblehpeter/,Peter Doble,Founder,,,,US,Coming soon!,Also coming soon!,2025-09-29,,
Barrelhand Inc.,San Francisco,CA,https://www.barrelhand.com/,https://www.instagram.com/barrelhand/,Karel Bachand,Founder,contact@barrelhand.com,2014,,US,Coming soon!,Also coming soon!,2025-09-29,,
Havid Nagan,Los Angeles,CA,https://www.havidnagan.com/,https://www.instagram.com/havidnagan/,Aren Bazerkanian,Founder,info@havidnagan.com,2022,,US,Coming soon!,Also coming soon!,2025-09-29,,
Artur Akmaev,Santa Monica,CA,https://www.arturakmaev.com/,https://www.instagram.com/arturakmaev_watches/,Artur Akmaev,Founder,artur.movement88@gmail.com,,,US,Coming soon!,Also coming soon!,2025-09-29,,
Massena LAB,New York,NY,http://massenalab.com/,https://www.instagram.com/massenalab/,William Massena,Founder,info@massenalab.com,2018,,US,Coming soon!,Also coming soon!,2025-09-29,,
Lindow Rose Enginer,Columbus,OH,https://lindowroseengine.com/,https://www.instagram.com/david.lindow/,David Lindow,Founder,roseengine@columbusmachine.com,,,US,Coming soon!,Also coming soon!,2025-09-29,,
Icon 4x4,Los Angeles,CA,https://shop.icon4x4.com/,https://www.instagram.com/icon4x4/,Jonathan Ward,Founder,,,,US,Coming soon!,Also coming soon!,2025-09-29,,
Mark Carson Watches,Honolulu,HI,https://markcarson.com/,https://www.instagram.com/markcarsonhawaii/,Mark Carson,Founder,Sales@MarkCarson.com,2009,,US,Coming soon!,Also coming soon!,2025-09-29,,
Lum-Tec,Mentor,OH,https://lum-tec.com/,https://www.instagram.com/lumtecwatches/,,,chris@lum-tec.com,2008,,US,Coming soon!,Also coming soon!,2025-09-29,,
Sel,Tucson,AZ,https://selinstrument.com/,https://www.instagram.com/selinstrument/,Andrew McLean,Founder,info@selinstrument.com,2013,,US,Coming soon!,Also coming soon!,2025-09-29,,
Hesili,New York,NY,https://hesiliny.com/,https://www.instagram.com/hesilinewyork/,,,hesili@hesiliny.com,2018,,US,Coming soon!,Also coming soon!,2025-09-29,,
Royter,New York,NY,https://www.royterwatches.com/,https://www.instagram.com/royterwatches/,Dan Royter,Founder,info@royterwatches.com,2017,,US,Coming soon!,Also coming soon!,2025-09-29,,
Thumm and Co.,Warren,OH,https://www.thummco.com/,https://www.instagram.com/thummco/,,,contact@thummco.com,2019,,US,Coming soon!,Also coming soon!,2025-09-29,,
Alterum,Dunedin,FL,https://www.alterumwatchco.com/,https://www.instagram.com/alterumwatchcompany/,Justin Walters,Founder,jwalters@alterumwatchco.com,2016,,US,Coming soon!,Also coming soon!,2025-09-29,,
Abingdon,Las Vegas,NV,https://abingdonco.com/,https://www.instagram.com/theabingdonco/,Abingdon Mullin,Founder,info@theabingdonco.com,2006,,US,Coming soon!,Also coming soon!,2025-09-29,,
ArmourLite Watch Company,North Miami Beach,FL,https://www.armourlite.com/,https://www.instagram.com/armourlite/,Ashley Diener,Founder,customerservice@armourlite.com,2007,,US,Coming soon!,Also coming soon!,2025-09-29,,
Benrus,New York,NY,https://benrus.com/en-us/,https://www.instagram.com/benrus/,,,support@benrus.com,1921,,US,Coming soon!,Also coming soon!,2025-09-29,,
Bertucci Watches,Gurnee,IL,https://www.bertucciwatches.com/,https://www.instagram.com/bertucci_field_watches/,,,askenzo@mhbertucci.com,2003,,US,Coming soon!,Also coming soon!,2025-09-29,,
Brillier,Mesa,AZ,https://www.brillier.com/,https://www.instagram.com/brillierwatches/,,,info@brillier.com,2009,,US,Coming soon!,Also coming soon!,2025-09-29,,
Dan Spitz,Delray Beach,FL,https://danspitz.com/,https://www.instagram.com/danspitzofficial/,Daniel Spitz,"Founder, Watchmaker",daniel@danspitz.com,1995,,US,Coming soon!,2025-09-29,,,
David E Walter,Santa Barbara,CA,https://davidwalter.com/,https://www.instagram.com/davide.walter/,David E Walter,"Founder, Watchmaker",david@davidwalter.net,2002,,US,Coming soon!,2025-09-29,,,
Devon,Grand Rapids,MI,https://www.devonworks.com/,https://www.instagram.com/devon_works/,Scott Devon,Founder,info@devonworks.com,2008,,US,Coming soon!,Also coming soon!,2025-09-29,,
Hager Watches,Hagerstown,MD,https://www.hagerwatches.com/,https://www.instagram.com/hagerwatches/,,,Hager.Watches@gmail.com,2009,,US,Coming soon!,Also coming soon!,2025-09-29,,
Hampden Watch,Chicago,IL,https://hampdenwatch.com/,https://www.instagram.com/hampdenwatch/,,,service@hampdenwatch.com,1922,,US,Coming soon!,Also coming soon!,2025-09-29,,
JN Shapiro,Los Angeles,CA,https://www.jnshapirowatches.com/,https://www.instagram.com/jnshapiro_watches/,,,info@jnshapirowatches.com,2018,,US,Coming soon!,Also coming soon!,2025-09-29,,
Keaton B. Myrick,Sisters,OR,https://www.keatonmyrick.com/,https://www.instagram.com/horological/,,,keaton@kmindependent.com,2012,,US,Coming soon!,Also coming soon!,2025-09-29,,
Kobold,Pittsburgh,PA,https://koboldwatch.com/,https://www.instagram.com/koboldwatch,Michael Kobold,Founder,mkobold@koboldwatch.com,1998,,US,Coming soon!,Also coming soon!,2025-09-29,,
Resco Instruments,San Clemente,CA,https://rescoinstruments.com/,https://www.instagram.com/resco_watches,,,info@rescoinstruments.com,2009,,US,Coming soon!,Also coming soon!,2025-09-29,,
RGM,Lancaster,PA,https://www.rgmwatches.com/,https://www.instagram.com/rgmwatches/,Roland Murphy,Founder,sales@rgmwatches.com,1992,,US,Coming soon!,Also coming soon!,2025-09-29,,
